id,title,duration,director,actors,genres,year
613,The Assassination of Jesse James by the Coward Robert Ford,160,Andrew Dominik,"Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker","Biography,Crime,Drama",2007
614,Don Jon,90,Joseph Gordon-Levitt,"Joseph Gordon-Levitt, Scarlett Johansson,Julianne Moore, Tony Danza","Comedy,Drama,Romance",2013
615,Bastille Day,92,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly","Action,Crime,Drama",2016
616,2307: Winter's Dream,101,Joey Curtis,"Paul Sidhu, Branden Coles, Arielle Holmes, Kelcey Watson",Sci-Fi,2016
617,Free State of Jones,139,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell","Action,Biography,Drama",2016
618,Mr. Right,95,Paco Cabezas,"Anna Kendrick, Sam Rockwell, Tim Roth, James Ransone","Action,Comedy,Romance",2015
619,The Secret Life of Walter Mitty,114,Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn","Adventure,Comedy,Drama",2013
620,Dope,103,Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons,Kimberly Elise","Comedy,Crime,Drama",2015
621,Underworld Awakening,88,MÃ¥ns MÃ¥rlind,"Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea","Action,Fantasy,Horror",2012
622,Antichrist,108,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche SahlstrÃ¸m","Drama,Horror",2009
623,Friday the 13th,97,Marcus Nispel,"Jared Padalecki, Amanda Righetti, Derek Mears,Danielle Panabaker",Horror,2009
624,Taken 3,109,Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen","Action,Thriller",2014
625,Total Recall,118,Len Wiseman,"Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale","Action,Adventure,Mystery",2012
626,X-Men: The Last Stand,104,Brett Ratner,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen","Action,Adventure,Fantasy",2006
627,The Escort,88,Will Slocombe,"Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell","Comedy,Drama,Romance",2016
628,The Whole Truth,93,Courtney Hunt,"Keanu Reeves, RenÃ©e Zellweger, Gugu Mbatha-Raw, Gabriel Basso","Crime,Drama,Mystery",2016
629,Night at the Museum: Secret of the Tomb,98,Shawn Levy,"Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke","Adventure,Comedy,Family",2014
630,Love & Other Drugs,112,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt","Comedy,Drama,Romance",2010
631,The Interview,112,Evan Goldberg,"James Franco, Seth Rogen, Randall Park, Lizzy Caplan",Comedy,2014
632,The Host,120,Bong Joon Ho,"Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae","Comedy,Drama,Horror",2006
633,Megan Is Missing,85,Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer","Drama,Horror,Thriller",2011
634,WALLÂ·E,98,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","Animation,Adventure,Family",2008
635,Knocked Up,129,Judd Apatow,"Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann","Comedy,Romance",2007
636,Source Code,93,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga,Jeffrey Wright","Mystery,Romance,Sci-Fi",2011
637,Lawless,116,John Hillcoat,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke","Crime,Drama",2012
638,Unfriended,83,Levan Gabriadze,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig","Drama,Horror,Mystery",2014
639,American Reunion,113,Jon Hurwitz,"Jason Biggs, Alyson Hannigan,Seann William Scott, Chris Klein",Comedy,2012
640,The Pursuit of Happyness,117,Gabriele Muccino,"Will Smith, Thandie Newton, Jaden Smith, Brian Howe","Biography,Drama",2006
641,Relatos salvajes,122,DamiÃ¡n Szifron,"DarÃ­o Grandinetti, MarÃ­a Marull, MÃ³nica Villa, Rita Cortese","Comedy,Drama,Thriller",2014
642,The Ridiculous 6,119,Frank Coraci,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner","Comedy,Western",2015
643,Frantz,113,FranÃ§ois Ozon,"Pierre Niney, Paula Beer, Ernst StÃ¶tzner, Marie Gruber","Drama,History,War",2016
644,Viral,85,Henry Joost,"Sofia Black-D'Elia, Analeigh Tipton,Travis Tope, Michael Kelly","Drama,Horror,Sci-Fi",2016
645,Gran Torino,116,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley,Ahney Her",Drama,2008
646,Burnt,101,John Wells,"Bradley Cooper, Sienna Miller, Daniel BrÃ¼hl, Riccardo Scamarcio","Comedy,Drama",2015
647,Tall Men,133,Jonathan Holbrook,"Dan Crisafulli, Kay Whitney, Richard Garcia, Pat Cashman","Fantasy,Horror,Thriller",2016
648,Sleeping Beauty,101,Julia Leigh,"Emily Browning, Rachael Blake, Ewen Leslie, Bridgette Barrett","Drama,Romance",2011
649,Vampire Academy,104,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne","Action,Comedy,Fantasy",2014
650,Sweeney Todd: The Demon Barber of Fleet Street,116,Tim Burton,"Johnny Depp, Helena Bonham Carter, Alan Rickman,Timothy Spall","Drama,Horror,Musical",2007
651,Solace,101,Afonso Poyart,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell","Crime,Drama,Mystery",2015
652,Insidious,103,James Wan,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye","Horror,Mystery,Thriller",2010
653,Popstar: Never Stop Never Stopping,87,Akiva Schaffer,"Andy Samberg, Jorma Taccone,Akiva Schaffer, Sarah Silverman","Comedy,Music",2016
654,The Levelling,83,Hope Dickson Leach,"Ellie Kendrick, David Troughton, Jack Holden,Joe Blakemore",Drama,2016
655,Public Enemies,140,Michael Mann,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke","Biography,Crime,Drama",2009
656,Boyhood,165,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke,Elijah Smith",Drama,2014
657,Teenage Mutant Ninja Turtles,101,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Noel Fisher","Action,Adventure,Comedy",2014
658,Eastern Promises,100,David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin","Crime,Drama,Mystery",2007
659,The Daughter,96,Simon Stone,"Geoffrey Rush, Nicholas Hope, Sam Neill, Ewen Leslie",Drama,2015
660,Pineapple Express,111,David Gordon Green,"Seth Rogen, James Franco, Gary Cole, Danny McBride","Action,Comedy,Crime",2008
661,The First Time,95,Jon Kasdan,"Dylan O'Brien, Britt Robertson, Victoria Justice, James Frecheville","Comedy,Drama,Romance",2012
662,Gone Baby Gone,114,Ben Affleck,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan","Crime,Drama,Mystery",2007
663,The Heat,117,Paul Feig,"Sandra Bullock, Michael McDonald, Melissa McCarthy,DemiÃ¡n Bichir","Action,Comedy,Crime",2013
664,L'avenir,102,Mia Hansen-LÃ¸ve,"Isabelle Huppert, AndrÃ© Marcon, Roman Kolinka,Edith Scob",Drama,2016
665,Anna Karenina,129,Joe Wright,"Keira Knightley, Jude Law, Aaron Taylor-Johnson,Matthew Macfadyen","Drama,Romance",2012
666,Regression,106,Alejandro AmenÃ¡bar,"Ethan Hawke, David Thewlis, Emma Watson,Dale Dickey","Crime,Drama,Mystery",2015
667,Ted 2,115,Seth MacFarlane,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth","Adventure,Comedy,Romance",2015
668,Pain & Gain,129,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie,Tony Shalhoub","Comedy,Crime,Drama",2013
669,Blood Diamond,143,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers","Adventure,Drama,Thriller",2006
670,Devil's Knot,114,Atom Egoyan,"Colin Firth, Reese Witherspoon, Alessandro Nivola,James Hamrick","Biography,Crime,Drama",2013
671,Child 44,137,Daniel Espinosa,"Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman","Crime,Drama,Thriller",2015
672,The Hurt Locker,131,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty,Guy Pearce","Drama,History,Thriller",2008
673,Green Lantern,114,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard,Mark Strong","Action,Adventure,Sci-Fi",2011
674,War on Everyone,98,John Michael McDonagh,"Alexander SkarsgÃ¥rd, Michael PeÃ±a, Theo James, Tessa Thompson","Action,Comedy",2016
675,The Mist,126,Frank Darabont,"Thomas Jane, Marcia Gay Harden, Laurie Holden,Andre Braugher",Horror,2007
676,Escape Plan,115,Mikael HÃ¥fstrÃ¶m,"Sylvester Stallone, Arnold Schwarzenegger, 50 Cent, Vincent D'Onofrio","Action,Crime,Mystery",2013
677,"Love, Rosie",102,Christian Ditter,"Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone","Comedy,Romance",2014
678,The DUFF,101,Ari Sandel,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney",Comedy,2015
679,The Age of Shadows,140,Jee-woon Kim,"Byung-hun Lee, Yoo Gong, Kang-ho Song, Ji-min Han","Action,Drama,Thriller",2016
680,The Hunger Games: Mockingjay - Part 1,123,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson","Action,Adventure,Sci-Fi",2014
681,We Need to Talk About Kevin,112,Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell","Drama,Mystery,Thriller",2011
682,Love & Friendship,90,Whit Stillman,"Kate Beckinsale, ChloÃ« Sevigny, Xavier Samuel,Emma Greenwell","Comedy,Drama,Romance",2016
683,The Mortal Instruments: City of Bones,130,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan,Jemima West","Action,Fantasy,Horror",2013
684,Seven Pounds,123,Gabriele Muccino,"Will Smith, Rosario Dawson, Woody Harrelson,Michael Ealy","Drama,Romance",2008
685,The King's Speech,118,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter,Derek Jacobi","Biography,Drama",2010
686,Hunger,96,Steve McQueen,"Stuart Graham, Laine Megaw, Brian Milligan, Liam McMahon","Biography,Drama",2008
687,Jumper,88,Doug Liman,"Hayden Christensen, Samuel L. Jackson, Jamie Bell,Rachel Bilson","Action,Adventure,Sci-Fi",2008
688,Toy Story 3,103,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","Animation,Adventure,Comedy",2010
689,Tinker Tailor Soldier Spy,122,Tomas Alfredson,"Gary Oldman, Colin Firth, Tom Hardy, Mark Strong","Drama,Mystery,Thriller",2011
690,Resident Evil: Retribution,96,Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer","Action,Horror,Sci-Fi",2012
691,Dear Zindagi,151,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley","Drama,Romance",2016
692,Genius,104,Michael Grandage,"Colin Firth, Jude Law, Nicole Kidman, Laura Linney","Biography,Drama",2016
693,Pompeii,105,Paul W.S. Anderson,"Kit Harington, Emily Browning, Kiefer Sutherland, Adewale Akinnuoye-Agbaje","Action,Adventure,Drama",2014
694,Life of Pi,127,Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu","Adventure,Drama,Fantasy",2012
695,Hachi: A Dog's Tale,93,Lasse HallstrÃ¶m,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa,Sarah Roemer","Drama,Family",2009
696,10 Years,100,Jamie Linden,"Channing Tatum, Rosario Dawson, Chris Pratt, Jenna Dewan Tatum","Comedy,Drama,Romance",2011
697,I Origins,106,Mike Cahill,"Michael Pitt, Steven Yeun, Astrid BergÃ¨s-Frisbey, Brit Marling","Drama,Romance,Sci-Fi",2014
698,Live Free or Die Hard,128,Len Wiseman,"Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q","Action,Adventure,Thriller",2007
699,The Matchbreaker,94,Caleb Vetter,"Wesley Elder, Christina Grimmie, Osric Chau, Olan Rogers","Comedy,Romance",2016
700,Funny Games,111,Michael Haneke,"Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet","Crime,Drama,Horror",2007
701,Ted,106,Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale","Comedy,Fantasy",2012
702,RED,111,Robert Schwentke,"Bruce Willis, Helen Mirren, Morgan Freeman,Mary-Louise Parker","Action,Comedy,Crime",2010
703,Australia,165,Baz Luhrmann,"Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo","Adventure,Drama,Romance",2008
704,Faster,98,George Tillman Jr.,"Dwayne Johnson, Billy Bob Thornton, Maggie Grace, Mauricio Lopez","Action,Crime,Drama",2010
705,The Neighbor,87,Marcus Dunstan,"Josh Stewart, Bill Engvall, Alex Essoe, Ronnie Gene Blevins","Crime,Horror,Thriller",2016
706,The Adjustment Bureau,106,George Nolfi,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner","Romance,Sci-Fi,Thriller",2011
707,The Hollars,88,John Krasinski,"Sharlto Copley, Charlie Day, Richard Jenkins, Anna Kendrick","Comedy,Drama,Romance",2016
708,The Judge,141,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton","Crime,Drama",2014
709,Closed Circuit,96,John Crowley,"Eric Bana, Rebecca Hall, Jim Broadbent, CiarÃ¡n Hinds","Crime,Drama,Mystery",2013
710,Transformers: Revenge of the Fallen,150,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson","Action,Adventure,Sci-Fi",2009
711,La tortue rouge,80,Michael Dudok de Wit,"Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers","Animation,Fantasy",2016
712,The Book of Life,95,Jorge R. GutiÃ©rrez,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman","Animation,Adventure,Comedy",2014
713,Incendies,131,Denis Villeneuve,"Lubna Azabal, MÃ©lissa DÃ©sormeaux-Poulin, Maxim Gaudette, Mustafa Kamel","Drama,Mystery,War",2010
714,The Heartbreak Kid,116,Bobby Farrelly,"Ben Stiller, Michelle Monaghan,Malin Akerman, Jerry Stiller","Comedy,Romance",2007
715,Happy Feet,108,George Miller,"Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams","Animation,Comedy,Family",2006
716,Entourage,104,Doug Ellin,"Adrian Grenier, Kevin Connolly, Jerry Ferrara, Kevin Dillon",Comedy,2015
717,The Strangers,86,Bryan Bertino,"Scott Speedman, Liv Tyler, Gemma Ward, Alex Fisher","Horror,Mystery,Thriller",2008
718,Noah,138,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson","Action,Adventure,Drama",2014
719,Neighbors,97,Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Lisa Kudrow",Comedy,2014
720,Nymphomaniac: Vol. II,123,Lars von Trier,"Charlotte Gainsbourg, Stellan SkarsgÃ¥rd, Willem Dafoe, Jamie Bell",Drama,2013
721,Wild,115,Jean-Marc VallÃ©e,"Reese Witherspoon, Laura Dern, Gaby Hoffmann,Michiel Huisman","Adventure,Biography,Drama",2014
722,Grown Ups,102,Dennis Dugan,"Adam Sandler, Salma Hayek, Kevin James, Chris Rock",Comedy,2010
723,Blair Witch,89,Adam Wingard,"James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott","Horror,Thriller",2016
724,The Karate Kid,140,Harald Zwart,"Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han","Action,Drama,Family",2010
725,Dark Shadows,113,Tim Burton,"Johnny Depp, Michelle Pfeiffer, Eva Green, Helena Bonham Carter","Comedy,Fantasy,Horror",2012
726,Friends with Benefits,109,Will Gluck,"Mila Kunis, Justin Timberlake, Patricia Clarkson, Jenna Elfman","Comedy,Romance",2011
727,The Illusionist,110,Neil Burger,"Edward Norton, Jessica Biel, Paul Giamatti, Rufus Sewell","Drama,Mystery,Romance",2006
728,The A-Team,117,Joe Carnahan,"Liam Neeson, Bradley Cooper, Sharlto Copley,Jessica Biel","Action,Adventure,Comedy",2010
729,The Guest,100,Adam Wingard,"Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore",Thriller,2014
730,The Internship,119,Shawn Levy,"Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi",Comedy,2013
731,Paul,104,Greg Mottola,"Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard","Adventure,Comedy,Sci-Fi",2011
732,This Beautiful Fantastic,100,Simon Aboud,"Jessica Brown Findlay, Andrew Scott, Jeremy Irvine,Tom Wilkinson","Comedy,Drama,Fantasy",2016
733,The Da Vinci Code,149,Ron Howard,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen","Mystery,Thriller",2006
734,Mr. Church,104,Bruce Beresford,"Eddie Murphy, Britt Robertson, Natascha McElhone, Xavier Samuel","Comedy,Drama",2016
735,Hugo,126,Martin Scorsese,"Asa Butterfield, ChloÃ« Grace Moretz, Christopher Lee, Ben Kingsley","Adventure,Drama,Family",2011
736,The Blackcoat's Daughter,93,Oz Perkins,"Emma Roberts, Kiernan Shipka, Lauren Holly, Lucy Boynton","Horror,Thriller",2015
737,Body of Lies,128,Ridley Scott,"Leonardo DiCaprio, Russell Crowe, Mark Strong,Golshifteh Farahani","Action,Drama,Romance",2008
738,Knight of Cups,118,Terrence Malick,"Christian Bale, Cate Blanchett, Natalie Portman,Brian Dennehy","Drama,Romance",2015
739,The Mummy: Tomb of the Dragon Emperor,112,Rob Cohen,"Brendan Fraser, Jet Li, Maria Bello, Michelle Yeoh","Action,Adventure,Fantasy",2008
740,The Boss,99,Ben Falcone,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson",Comedy,2016
741,Hands of Stone,111,Jonathan Jakubowicz,"Edgar RamÃ­rez, Usher Raymond, Robert De Niro, RubÃ©n Blades","Action,Biography,Drama",2016
742,El secreto de sus ojos,129,Juan JosÃ© Campanella,"Ricardo DarÃ­n, Soledad Villamil, Pablo Rago,Carla Quevedo","Drama,Mystery,Romance",2009
743,True Grit,110,Ethan Coen,"Jeff Bridges, Matt Damon, Hailee Steinfeld,Josh Brolin","Adventure,Drama,Western",2010
744,We Are Your Friends,96,Max Joseph,"Zac Efron, Wes Bentley, Emily Ratajkowski, Jonny Weston","Drama,Music,Romance",2015
745,A Million Ways to Die in the West,116,Seth MacFarlane,"Seth MacFarlane, Charlize Theron, Liam Neeson,Amanda Seyfried","Comedy,Romance,Western",2014
746,Only for One Night,86,Chris Stokes,"Brian White, Karrueche Tran, Angelique Pereira,Jessica Vanessa DeLeon",Thriller,2016
747,Rules Don't Apply,127,Warren Beatty,"Lily Collins, Haley Bennett, Taissa Farmiga, Steve Tom","Comedy,Drama,Romance",2016
748,Ouija: Origin of Evil,99,Mike Flanagan,"Elizabeth Reaser, Lulu Wilson, Annalise Basso,Henry Thomas","Horror,Thriller",2016
749,Percy Jackson: Sea of Monsters,106,Thor Freudenthal,"Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion","Adventure,Family,Fantasy",2013
750,Fracture,113,Gregory Hoblit,"Anthony Hopkins, Ryan Gosling, David Strathairn,Rosamund Pike","Crime,Drama,Mystery",2007
751,Oculus,104,Mike Flanagan,"Karen Gillan, Brenton Thwaites, Katee Sackhoff,Rory Cochrane","Horror,Mystery",2013
752,In Bruges,107,Martin McDonagh,"Colin Farrell, Brendan Gleeson, CiarÃ¡n Hinds,Elizabeth Berrington","Comedy,Crime,Drama",2008
753,This Means War,103,McG,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger","Action,Comedy,Romance",2012
754,LÃ­da BaarovÃ¡,106,Filip Renc,"Tatiana PauhofovÃ¡, Karl Markovics, Gedeon Burkhard,Simona StasovÃ¡","Biography,Drama,History",2016
755,The Road,111,John Hillcoat,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee,Robert Duvall","Adventure,Drama",2009
756,Lavender,92,Ed Gass-Donnelly,"Abbie Cornish, Dermot Mulroney, Justin Long,Diego Klattenhoff","Drama,Thriller",2016
757,Deuces,87,Jamal Hill,"Larenz Tate, Meagan Good, Rotimi, Rick Gonzalez",Drama,2016
758,Conan the Barbarian,113,Marcus Nispel,"Jason Momoa, Ron Perlman, Rose McGowan,Stephen Lang","Action,Adventure,Fantasy",2011
759,The Fighter,116,David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams,Melissa Leo","Action,Biography,Drama",2010
760,August Rush,114,Kirsten Sheridan,"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard","Drama,Music",2007
761,Chef,114,Jon Favreau,"Jon Favreau, Robert Downey Jr., Scarlett Johansson,Dustin Hoffman","Comedy,Drama",2014
762,Eye in the Sky,102,Gavin Hood,"Helen Mirren, Aaron Paul, Alan Rickman, Barkhad Abdi","Drama,Thriller,War",2015
763,Eagle Eye,118,D.J. Caruso,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson,Michael Chiklis","Action,Mystery,Thriller",2008
764,The Purge,85,James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder,Adelaide Kane","Horror,Sci-Fi,Thriller",2013
765,PK,153,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt,Boman Irani","Comedy,Drama,Romance",2014
766,Ender's Game,114,Gavin Hood,"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin","Action,Sci-Fi",2013
767,Indiana Jones and the Kingdom of the Crystal Skull,122,Steven Spielberg,"Harrison Ford, Cate Blanchett, Shia LaBeouf,Karen Allen","Action,Adventure,Fantasy",2008
768,Paper Towns,109,Jake Schreier,"Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith","Drama,Mystery,Romance",2015
769,High-Rise,119,Ben Wheatley,"Tom Hiddleston, Jeremy Irons, Sienna Miller, Luke Evans",Drama,2015
770,Quantum of Solace,106,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench","Action,Adventure,Thriller",2008
771,The Assignment,95,Walter Hill,"Sigourney Weaver, Michelle Rodriguez, Tony Shalhoub,Anthony LaPaglia","Action,Crime,Thriller",2016
772,How to Train Your Dragon,98,Dean DeBlois,"Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson","Animation,Action,Adventure",2010
773,Lady in the Water,110,M. Night Shyamalan,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban","Drama,Fantasy,Mystery",2006
774,The Fountain,96,Darren Aronofsky,"Hugh Jackman, Rachel Weisz, Sean Patrick Thomas, Ellen Burstyn","Drama,Sci-Fi",2006
775,Cars 2,106,John Lasseter,"Owen Wilson, Larry the Cable Guy,Michael Caine, Emily Mortimer","Animation,Adventure,Comedy",2011
776,31,102,Rob Zombie,"Malcolm McDowell, Richard Brake, Jeff Daniel Phillips,Sheri Moon Zombie","Horror,Thriller",2016
777,Final Girl,90,Tyler Shields,"Abigail Breslin, Wes Bentley, Logan Huffman,Alexander Ludwig","Action,Thriller",2015
778,Chalk It Up,90,Hisonni Johnson,"Maddy Curley, John DeLuca, Nikki SooHoo, Drew Seeley",Comedy,2016
779,The Man Who Knew Infinity,108,Matt Brown,"Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi","Biography,Drama",2015
780,Unknown,113,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones,Aidan Quinn","Action,Mystery,Thriller",2011
